NUM	B/D	DAY	MON	YEA	H	MN	SEC	Ci	TZ	LAT	LON
8006	D	01	07	1900	12	50	40	01	0	48N50	2E20
8007	B	09	05	1912	07	40	0		0	48N50	2E20
8008	D	06	07	1912	12	0	0	07	0	48N50	2E20
8009	B	12	01	1874	09	50	40		0	48N50	2E20
8010	D	15	10	1926	19	0	0	20	0	48N50	2E20
8011	B	16	04	1905	14	50	40		0	48N50	2E20
8012	D	02	05	1938	06	0	0	04	0	48N50	2E20
8013	B	03	03	1902	04	50	40		0	48N50	2E20
8014	D	07	07	1904	01	40	40	12	0	48N50	2E20
8015	B	13	06	1911	04	0	0		0	48N50	2E20
8016	D	01	01	1912	01	0	0	07	0	48N50	2E20
8017	B	23	12	1918	18	0	0		0	48N50	2E20
8018	D	19	03	1949	09	0	0	06	-1	48N50	2E20
8019	B	06	05	1913	09	30	0		0	48N50	2E20
8020	D	29	03	1938	08	30	0	09	0	48N50	2E20
8021	B	25	01	1929	03	0	0		0	48N50	2E20
8022	D	10	02	1929	17	30	0	11	0	48N50	2E20
8023	B	04	10	1914	20	30	0		0	48N50	2E20
8024	D	02	04	1915	19	0	0	11	0	48N50	2E20
8025	B	12	01	1879	16	50	40		0	48N50	2E20
8026	D	11	06	1942	22	30	0	10	0	48N50	2E20
8027	B	25	07	1908	23	50	40		0	48N50	2E20
8028	D	09	09	1909	07	50	40	09	0	48N50	2E20
8029	B	10	08	1925	22	45	0		0	48N50	2E20
8030	D	10	03	1926	20	20	0	14	0	48N50	2E20
8031	B	14	09	1886	09	20	40		0	48N50	2E20
8032	D	10	05	1914	06	0	0	01	0	48N50	2E20
8033	B	08	12	1900	14	50	40		0	48N50	2E20
8034	D	27	12	1900	0	50	40	12	0	48N50	2E20
8035	B	15	07	1922	01	20	0		0	48N50	2E20
8036	D	16	07	1927	11	30	0	01	0	48N50	2E20
8037	B	12	07	1880	14	50	40		0	48N50	2E20
8038	D	26	02	1910	10	50	40	09	0	48N50	2E20
8039	B	11	07	1862	07	20	40		0	48N50	2E20
8040	D	10	09	1942	16	30	0	02	0	48N50	2E20
8041	B	12	08	1889	15	50	40		0	48N50	2E20
8042	D	01	06	1918	04	45	0	01	0	48N50	2E20
8043	B	20	01	1866	09	50	40		0	48N50	2E20
8044	D	30	10	1900	18	50	40	06	0	48N50	2E20
8045	B	11	07	1876	16	50	40		0	48N50	2E20
8046	D	01	07	1927	12	30	0	10	0	48N50	2E20
8047	B	01	05	1912	11	30	0		0	48N50	2E20
8048	D	07	05	1912	16	0	0	08	0	48N50	2E20
8049	B	03	10	1898	07	05	40		0	48N50	2E20
8050	D	10	12	1902	16	20	40	06	0	48N50	2E20
8051	B	22	10	1911	20	0	0		0	48N50	2E20
8052	D	18	07	1912	12	0	0	02	0	48N50	2E20
8053	B	29	05	1919	03	0	0		0	48N50	2E20
8054	D	26	08	1919	09	0	0	10	0	48N50	2E20
8055	B	14	11	1903	14	20	40		0	48N50	2E20
8056	D	30	01	1904	22	50	40	10	0	48N50	2E20
8057	B	08	05	1863	11	50	40		0	48N50	2E20
8058	D	03	03	1913	05	0	0	04	0	48N50	2E20
8059	B	16	05	1937	03	0	0		0	48N50	2E20
8060	D	16	06	1942	04	0	0	04	0	48N50	2E20
8061	B	29	12	1866	20	50	40		0	48N50	2E20
8062	D	24	06	1947	22	30	0	06	-1	48N50	2E20
8063	B	18	11	1886	09	50	40		0	48N50	2E20
8064	D	04	02	1949	08	30	0	13	-1	48N50	2E20
8065	B	25	06	1902	03	50	40		0	48N50	2E20
8066	D	24	03	1932	09	30	0	07	0	48N50	2E20
8067	B	06	02	1906	16	20	40		0	48N50	2E20
8068	D	07	10	1924	20	30	0	09	0	48N50	2E20
8069	B	12	01	1862	13	20	40		0	48N50	2E20
8070	D	31	08	1923	23	0	0	06	0	48N50	2E20
8071	B	20	11	1866	21	50	40		0	48N50	2E20
8072	D	02	07	1932	21	0	0	01	0	48N50	2E20
8073	B	05	07	1886	10	20	40		0	48N50	2E20
8074	D	07	05	1910	14	50	40	07	0	48N50	2E20
8075	B	03	09	1901	13	20	40		0	48N50	2E20
8076	D	13	09	1931	16	0	0	04	0	48N50	2E20
8077	B	01	07	1899	22	30	40		0	48N50	2E20
8078	D	20	07	1900	11	50	40	08	0	48N50	2E20
8079	B	06	03	1921	05	30	0		0	48N50	2E20
8080	D	11	11	1921	04	0	0	01	0	48N50	2E20
8081	B	05	10	1933	15	0	0		0	48N50	2E20
8082	D	09	10	1933	06	0	0	12	0	48N50	2E20
8083	B	14	02	1900	05	50	40		0	48N50	2E20
8084	D	14	02	1901	21	50	40	02	0	48N50	2E20
8085	B	03	07	1912	20	0	0		0	48N50	2E20
8086	D	06	03	1913	20	0	0	01	0	48N50	2E20
8087	B	23	01	1885	17	50	40		0	48N50	2E20
8088	D	22	03	1906	09	50	40	01	0	48N50	2E20
8089	B	24	09	1864	13	20	40		0	48N50	2E20
8090	D	21	03	1939	03	30	0	13	0	48N50	2E20
8091	B	26	06	1913	0	30	0		0	48N50	2E20
8092	D	02	02	1918	13	0	0	10	0	48N50	2E20
8093	B	03	07	1897	02	50	40		0	48N50	2E20
8094	D	01	06	1943	22	40	0	03	0	48N50	2E20
8095	B	23	06	1900	19	20	40		0	48N50	2E20
8096	D	07	08	1900	09	50	40	08	0	48N50	2E20
8097	B	04	04	1916	23	50	0		0	48N50	2E20
8098	D	08	05	1916	16	0	0	07	0	48N50	2E20
8099	B	26	12	1877	21	50	40		0	48N50	2E20
8100	D	12	01	1939	22	15	0	03	0	48N50	2E20
8101	B	07	01	1902	10	20	40		0	48N50	2E20
