PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
C	453	I	12	1	1891	19	10	4	-1	40N48	8E30	SS	POZZOMAGGIORE
C	454	I	28	3	1888	15	10	4	-1	43N24	13E15	MC	CINGOLI
C	455	I	12	11	1877	19	40	4	-1	45N30	9E15	MI	MILANO
C	456	I	8	10	1891	9	20	4	-1	45N12	9E 0	PV	PAVIA
C	457	I	13	3	1884	11	10	4	-1	45N30	9E15	MI	MILANO
C	458	I	28	5	1890	2	10	4	-1	45N 0	9E45	PC	ZIANO PIACENTIN
C	459	I	30	1	1891	5	40	4	-1	40N30	15E45	PZ	GRUMENTO NOVA
C	460	I	14	8	1874	6	10	4	-1	41N54	12E30	RM	ROMA
C	461	I	23	12	1878	16	10	4	-1	44N24	9E 0	GE	GENOVA
C	462	I	30	10	1879	20	10	4	-1	45N30	9E 0	NO	NOVARA
C	463	I	9	9	1892	6	30	4	-1	45N 0	9E45	PC	FIORENZUOLA D'A
C	464	I	7	11	1891	11	10	4	-1	43N 0	13E 0	PG	CITTA DI CASTEL
C	465	I	19	3	1887	16	10	4	-1	45N 0	8E 0	TO	TORINO
C	466	I	2	4	1890	2	10	4	-1	45N30	9E15	MI	ARCORE
C	467	I	19	11	1892	2	40	4	-1	42N24	13E30	AQ	AVEZZANO
C	468	I	1	3	1894	23	30	0	-1	40N24	18E45	LE	MAGLIE
C	469	I	12	4	1894	15	0	0	-1	44N12	12E30	FO	FORLI
C	470	I	3	3	1895	20	0	0	-1	45N30	9E15	MI	MILANO
C	471	I	16	10	1895	16	0	0	-1	41N54	12E30	RM	ROMA
C	472	I	1	8	1904	22	0	0	-1	45N30	9E15	MI	MILANO
C	473	I	30	6	1874	2	40	4	-1	45N30	9E 0	NO	TRECATE
C	474	I	20	11	1896	20	30	0	-1	43N18	11E45	SI	MONTEPULCIANO
C	475	I	20	7	1891	15	30	4	-1	45N30	9E15	MI	MILANO
C	476	I	20	11	1879	11	10	4	-1	41N 6	14E30	CE	CAPUA
C	477	I	4	2	1884	5	40	4	-1	45N 0	8E 0	TO	TORINO
C	478	I	30	3	1904	10	15	0	-1	45N30	12E 0	VI	VICENZA
C	479	I	12	5	1893	20	10	4	-1	45N30	11E 0	BS	BRESCIA
C	480	I	27	8	1880	23	25	4	-1	40N54	14E 0	NA	CASTELLAMARE DI
C	481	I	28	7	1889	22	10	4	-1	43N 0	13E45	AP	MONTOTTONE
C	482	I	20	10	1893	13	40	4	-1	44N 0	13E 0	PS	PESARO
C	483	I	20	4	1895	16	30	0	-1	45N30	9E 0	NO	CALTIGNAGA
C	484	I	16	4	1872	13	10	4	-1	41N54	12E30	RM	ROMA
C	485	I	30	3	1879	4	10	4	-1	45N30	9E15	MI	MILANO
C	486	I	8	10	1884	2	45	4	-1	40N48	8E30	SS	SASSARI
C	487	I	10	5	1888	6	55	4	-1	44N30	11E 0	BO	CASTEL SANPIETR
C	488	I	4	1	1887	5	10	4	-1	41N12	17E 0	BA	BARI
C	489	I	1	3	1882	16	40	4	-1	41N54	12E30	RM	ROMA
C	490	I	28	8	1899	6	0	0	-1	46N 0	12E 0	TN	TRENTO
C	491	I	3	9	1886	6	40	4	-1	44N24	9E 0	GE	GENOVA
C	492	I	19	7	1888	15	50	4	-1	44N18	8E45	SV	SAVONA
C	493	I	23	9	1895	16	0	0	-1	40N54	14E 0	NA	NAPOLI
C	494	I	24	5	1894	6	0	0	-1	45N30	9E15	MI	MILANO
C	495	I	24	10	1886	5	10	4	-1	42N24	13E15	RI	RIETI
C	496	I	8	4	1877	6	40	4	-1	45N30	9E15	MI	MILANO
C	497	I	21	9	1889	1	10	4	-1	45N36	9E45	BG	BERGAMO
C	498	I	3	10	1896	5	0	0	-1	45N30	9E15	MI	MILANO
C	499	I	20	2	1885	7	10	4	-1	37N 0	15E30	SR	SIRACUSA
C	500	I	17	11	1884	5	30	4	-1	45N30	9E15	MI	MILANO
C	501	I	20	12	1890	20	10	4	-1	44N42	12E30	FE	FERRARA
C	502	I	30	7	1903	5	0	0	-1	45N24	8E30	VC	VERCELLI
C	503	I	31	5	1897	22	30	0	-1	45N 0	8E 0	TO	CHIVASSO
C	504	I	24	3	1881	5	20	4	-1	43N42	11E 0	LU	VIAREGGIO
