PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
S	2747	F	3	7	1820	2	40	40	0	43N57	4E50	84	CARPENTRAS
S	2748	F	5	1	1838	7	10	40	0	45N46	4E50	69	LYON
S	2749	F	27	2	1861	4	34	8	0	48N10	6E28	88	EPINAL
S	2750	F	3	2	1893	2	50	40	0	35N20	0W45	ALG	SIDI BEL ABBES
S	2751	F	26	11	1866	0	9	0	0	48N27	1E30	28	DREUX
S	2752	F	19	11	1812	20	16	24	0	48N 0	4W 6	29	BREST
S	2753	F	15	6	1862	20	29	0	0	48N35	7E45	67	SCHILTIGHEIM
S	2754	F	17	1	1858	0	54	16	0	43N37	1E26	31	TOULOUSE
S	2755	F	22	5	1803	3	30	36	0	48N 5	7E21	68	COLMAR
S	2756	F	4	2	1863	2	40	40	0	46N18	4E50	71	MACON
S	2757	F	11	6	1862	14	16	24	0	48N 0	4W 6	29	PONTHOU
S	2758	F	20	12	1814	17	36	20	0	47N13	1W35	44	NANTES
S	2759	F	9	4	1834	0	39	20	0	48N46	5E10	55	BAR-LE-DUC
S	2760	F	25	12	1816	5	54	16	0	43N37	1E26	31	TOULOUSE
S	2761	F	7	3	1857	18	39	20	0	48N46	5E10	55	ST AUBIN S/AIRE
S	2762	F	23	1	1872	20	50	40	0	48N50	2E20	75	PARIS 18E
S	2763	F	30	12	1839	5	50	28	0	47N 5	2E23	18	BOURGES
S	2764	F	5	4	1883	9	50	40	0	48N50	2E20	75	PARIS 8E
S	2765	F	23	11	1864	18	51	28	0	48N50	2E 8	78	POISSY
S	2766	F	15	4	1819	7	46	40	0	46N34	3E20	03	MOULINS
S	2767	F	22	12	1812	17	50	40	0	48N50	2E20	75	PARIS
S	2768	F	19	12	1868	8	7	24	0	47N54	1E54	45	BOISCOMMUN
S	2769	F	21	1	1847	22	29	0	0	48N35	7E45	67	PECHELBRONN
S	2770	F	28	6	1875	6	51	40	0	49N26	2E 5	60	BEAUVAIS
S	2771	F	14	1	1859	17	39	28	0	48N 7	5E 8	52	BLAISY
S	2772	F	2	3	1857	11	50	40	0	48N50	2E20	75	PARIS
S	2773	F	6	1	1837	15	50	40	0	48N50	2E20	75	PARIS
S	2774	F	8	10	1850	2	5	40	0	48N50	2E20	75	PARIS
S	2775	F	29	8	1861	5	43	40	0	48N18	4E 5	10	PINEY
S	2776	F	25	3	1859	2	12	36	0	43N51	4E21	30	BAGNOLS S/CEZE
S	2777	F	7	1	1856	15	34	8	0	48N10	6E28	88	ST NABORD
S	2778	F	28	4	1802	18	47	40	0	50N39	3E 5	59	AVESNES
S	2779	F	18	4	1838	20	59	20	0	45N39	0E10	16	COGNAC
S	2780	F	2	3	1830	9	50	48	0	49N54	2E18	80	ABBEVILLE
S	2781	F	7	9	1866	1	57	12	0	47N24	0E42	37	LOCHES
S	2782	F	11	6	1898	10	50	40	0	43N32	6E28	83	LA SEYNE
S	2783	F	16	1	1841	18	45	40	0	47N48	3E35	89	TONNERRE
S	2784	F	27	3	1901	20	50	40	0	43N51	4E21	30	ALES
S	2785	F	7	11	1906	13	50	40	0	47N13	1W35	44	CHANTENAY
S	2786	F	21	9	1875	0	47	40	0	50N39	3E 5	59	MARETZ
S	2787	F	21	11	1805	15	21	28	0	48N50	2E 8	78	VERSAILLES
S	2788	F	28	2	1838	0	30	36	0	48N 5	7E21	68	RIBEAUVILLE
S	2789	F	10	4	1857	8	50	40	0	48N50	2E20	75	PARIS
S	2790	F	24	3	1809	7	48	56	0	50N18	2E46	62	ST OMER
S	2791	F	4	3	1822	17	51	28	0	48N50	2E 8	78	VERSAILLES
S	2792	F	30	7	1823	2	6	20	0	47N13	1W35	44	NANTES
S	2793	F	26	10	1795	22	50	40	0	48N50	2E20	75	PARIS
S	2794	F	10	7	1870	13	51	28	0	48N50	2E 8	78	POISSY
S	2795	F	5	10	1864	0	35	52	0	47N15	6E 2	25	BESANCON
S	2796	F	27	2	1897	21	50	40	0	48N50	2E20	75	PARIS 8E
S	2797	F	6	8	1883	16	44	28	0	43N37	3E53	34	BEZIERS
S	2798	F	26	11	1872	20	39	52	0	47N19	5E 2	21	AUXONNE
S	2799	F	29	5	1878	16	52	48	0	46N40	5E33	39	LONS LE SAUNIER
S	2800	F	4	2	1833	0	50	28	0	47N 5	2E23	18	CHATEAUNEUF S/C
S	2801	F	30	7	1829	14	54	16	0	43N37	1E26	31	TOULOUSE
S	2802	F	8	9	1852	11	50	40	0	48N50	2E20	75	PARIS
S	2803	F	31	7	1821	1	50	40	0	48N50	2E20	75	PARIS
S	2804	F	2	12	1853	1	50	40	0	48N50	2E20	75	PARIS
S	2805	F	27	9	1862	6	50	40	0	48N50	2E20	75	PARIS 10E
S	2806	F	18	1	1820	20	40	40	0	46N18	4E50	71	CHALON S-SAONE
S	2807	F	12	6	1874	17	18	0	0	36N47	3E 0	ALG	ALGER
S	2808	F	10	10	1846	9	38	32	0	43N18	5E22	13	AIX EN FROVENCE
S	2809	F	1	4	1873	3	53	16	0	46N49	1E41	36	CHABRIS
S	2810	F	20	2	1837	17	47	40	0	50N39	3E 5	59	QUAROUBLE
S	2811	F	18	10	1807	16	38	32	0	43N18	5E22	13	MARSEILLE
S	2812	F	3	1	1867	5	45	40	0	47N48	3E35	89	ST MAURICE AUX
S	2813	F	19	9	1878	3	49	20	0	48N33	2E40	77	PROVINS
S	2814	F	2	7	1842	7	1	28	0	49N11	0W22	14	VAUDRY
S	2815	F	27	2	1871	0	52	24	0	47N54	1E54	45	ORLEANS
S	2816	F	7	3	1809	1	35	52	0	47N15	6E 2	25	MAICHE
S	2817	F	4	9	1809	3	36	20	0	45N34	5E55	73	CHAMBERY
S	2818	F	12	11	1835	4	40	40	0	46N18	4E50	71	CHALON S-SAONE
S	2819	F	11	6	1862	16	20	40	0	48N50	2E20	75	PARIS 6E
S	2820	F	8	6	1866	14	52	24	0	47N54	1E54	45	CHATILLON S/LOI
S	2821	F	6	3	1821	15	50	40	0	48N50	2E20	75	PARIS
S	2822	F	28	4	1876	23	30	56	0	43N42	7E16	06	NICE
S	2823	F	1	1	1864	8	57	12	0	47N24	0E42	37	ST LAURENT EN G
S	2824	F	7	4	1843	13	40	40	0	46N18	4E50	71	TOURNUS
S	2825	F	10	8	1846	13	29	0	0	48N35	7E45	67	SOULTZ S/S FORE
S	2826	F	14	8	1815	5	40	40	0	46N18	4E50	71	AUTUN
S	2827	F	4	10	1839	6	55	40	0	49N26	1E 5	76	LE HAVRE
S	2828	F	1	11	1849	23	3	0	0	48N 4	0W45	53	LAVAL
S	2829	F	19	5	1822	2	48	56	0	50N18	2E46	62	ESTREE COUCHY
S	2830	F	5	12	1863	4	50	40	0	48N50	2E20	75	PARIS 15E
S	2831	F	11	2	1802	22	30	36	0	48N 5	7E21	68	RIBEAUVILLE
S	2832	F	8	4	1851	16	48	56	0	50N18	2E46	62	ARRAS
S	2833	F	2	3	1806	2	50	40	0	48N50	2E20	75	PARIS
S	2834	F	4	7	1880	18	3	56	0	50N18	2E46	62	ST POL
S	2835	F	26	2	1807	5	4	20	0	49N 7	1W 5	50	VALOGNES
S	2836	F	10	9	1880	6	21	16	0	48N50	2E11	92	NEUILLY
S	2837	F	31	10	1890	14	47	40	0	45N47	3E 5	63	CLERMONT FERRAND
S	2838	F	19	5	1873	0	57	36	0	44N50	0W34	33	BORDEAUX
S	2839	F	6	12	1833	12	59	40	0	43N14	0E 5	65	TARBES
S	2840	F	29	11	1834	6	45	40	0	47N48	3E35	89	ST FARGEAU
S	2841	F	18	4	1833	9	42	36	0	43N51	4E21	30	VALLARAUGUE
S	2842	F	11	8	1873	1	36	20	0	45N34	5E55	73	CHAMBERY
S	2843	F	28	10	1872	4	44	28	0	43N37	3E53	34	MONTPELLIER
S	2844	F	30	9	1870	19	17	40	0	50N39	3E 5	59	LILLE
S	2845	F	19	12	1845	6	54	40	0	44N 1	1E20	82	ST LOUP
S	2846	F	16	7	1810	13	54	16	0	43N37	1E26	31	MURET
S	2847	F	5	10	1873	5	30	36	-1	48N 5	7E21	68	COLMAR
S	2848	F	21	5	1821	6	50	40	0	48N50	2E20	75	PARIS
S	2849	F	21	12	1844	13	29	0	0	48N35	7E45	67	STRASBOURG
S	2850	F	4	7	1867	16	41	4	0	49N46	4E44	08	LA HARDOYE
S	2851	F	14	11	1812	3	50	40	0	48N36	2E20	91	BUNO BONNEVAUX
S	2852	F	17	5	1812	13	44	28	0	45N 3	3E53	43	BRIOUDE
S	2853	F	29	4	1854	0	35	12	0	48N42	6E12	54	NANCY
S	2854	F	7	10	1882	12	2	0	0	43N54	0W30	40	RIOM DES LANDES
S	2855	F	15	5	1892	9	50	40	0	47N24	0E42	37	DRACHE
S	2856	F	20	9	1821	12	47	40	0	45N47	3E 5	63	ISSOIRE
S	2857	F	5	4	1902	7	50	40	0	45N11	5E43	38	VOIRON
S	2858	F	20	1	1872	7	6	20	0	47N13	1W35	44	NANTES
S	2859	F	1	11	1880	9	50	40	0	48N50	2E20	75	PARIS 16E
S	2860	F	29	8	1800	22	55	40	0	49N26	1E 5	76	ROUEN
S	2861	F	11	1	1829	8	50	40	0	48N50	2E20	75	PARIS
S	2862	F	20	7	1855	7	50	40	0	48N50	2E20	75	PARIS
S	2863	F	16	4	1820	10	52	0	0	49N 0	2E 0	95	ARGENTEUIL
S	2864	F	16	2	1852	12	50	40	0	48N50	2E20	75	PARIS
S	2865	F	10	5	1830	8	47	40	0	50N39	3E 5	59	FOURNES
S	2866	F	10	5	1863	9	37	8	0	45N11	5E43	38	ST ROMAIN DE JA
S	2867	F	12	12	1839	7	57	36	0	44N50	0W34	33	BORDEAUX
S	2868	F	13	2	1829	15	44	28	0	43N37	3E53	34	MONTPELLIER
S	2869	F	30	1	1862	22	37	8	0	45N11	5E43	38	GRENOBLE
S	2870	F	27	1	1828	16	34	8	0	48N10	6E28	88	PLOMBIERES
S	2871	F	18	11	1863	1	44	28	0	45N 3	3E53	43	YSSINGEAUX
S	2872	F	21	5	1817	17	0	36	0	48N 5	7E21	68	GUEBWILLER
S	2873	F	19	11	1853	7	20	48	0	49N54	2E18	80	AMIENS
S	2874	F	17	10	1820	14	44	28	0	43N37	3E53	34	MONTPELLIER
S	2875	F	10	8	1812	20	35	16	0	49N 7	6E11	57	METZ
S	2876	F	18	8	1832	0	42	36	0	43N51	4E21	30	SOMMIERES
S	2877	F	7	11	1899	18	5	40	0	47N 5	2E23	18	BOURGES
S	2878	F	14	1	1834	12	44	28	0	43N37	3E53	34	GANGES
S	2879	F	5	11	1854	16	50	36	0	43N12	2E21	11	CARCASSONNE
S	2880	F	28	7	1823	2	34	8	0	43N32	6E28	83	ST ZACHARIE
S	2881	F	24	6	1837	19	18	20	0	42N42	2E55	66	PERPIGNAN
S	2882	F	12	5	1861	18	2	8	0	47N28	0W32	49	ANGERS
S	2883	F	4	10	1797	9	50	40	0	48N50	2E20	75	PARIS
S	2884	F	26	5	1856	6	50	40	0	48N50	2E20	75	PARIS
S	2885	F	9	7	1824	1	38	32	0	43N18	5E22	13	MARSEILLE
S	2886	F	31	1	1839	11	50	48	0	49N54	2E18	80	VERBERIE
S	2887	F	3	7	1803	4	44	28	0	43N37	3E53	34	MONTPELLIER
S	2888	F	21	12	1851	7	52	24	0	47N54	1E54	45	ORLEANS
S	2889	F	6	9	1808	2	54	0	0	48N27	1E30	28	BROUE
S	2890	F	27	1	1856	5	59	40	0	43N14	0E 5	65	BARBACHEN
S	2891	F	30	8	1819	2	20	40	0	48N50	2E20	75	PARIS
S	2892	F	30	4	1848	15	50	40	0	48N50	2E20	75	PARIS
S	2893	F	4	6	1826	17	35	52	0	47N15	6E 2	25	BESANCON
S	2894	F	10	1	1825	7	39	28	0	48N 7	5E 8	52	LONGEAU
S	2895	F	20	1	1828	16	48	56	0	50N18	2E46	62	BRUAY
S	2896	F	31	8	1837	22	31	48	0	46N19	0W27	79	ST PEZENNE
S	2897	F	24	3	1848	9	51	28	0	48N50	2E 8	78	MANTES S/SEINE
S	2898	F	1	5	1881	6	47	40	0	45N47	3E 5	63	ORCINES
S	2899	F	3	7	1859	16	40	40	0	45N46	4E50	69	LYON
S	2900	F	30	1	1831	8	35	16	0	49N 7	6E11	57	METZ
S	2901	F	6	10	1819	14	50	40	0	48N50	2E20	75	PARIS
S	2902	F	26	6	1886	13	39	28	0	48N 7	5E 8	52	LANGRES
S	2903	F	2	3	1878	15	51	40	0	49N26	2E 5	60	BEAUVAIS
S	2904	F	1	5	1875	1	57	4	0	45N11	0E44	24	DOMME
S	2905	F	26	5	1830	13	35	12	0	48N42	6E12	54	FLAVIGNY S/MOSE
S	2906	F	13	1	1845	4	39	52	0	47N19	5E 2	21	NUITS
S	2907	F	12	7	1853	0	36	20	0	45N34	5E55	73	CHAMBERY
S	2908	F	8	1	1818	3	54	40	0	47N35	1E20	41	MONDOUBLEAU
S	2909	F	19	2	1845	5	50	40	0	48N50	2E20	75	PARIS
S	2910	F	12	10	1814	15	47	40	0	50N39	3E 5	59	DUNKERQUE
S	2911	F	17	10	1825	17	50	40	0	48N50	2E20	75	PARIS
S	2912	F	12	9	1815	19	57	12	0	47N24	0E42	37	AZAY LE RIDEAU
S	2913	F	12	4	1872	18	50	40	0	48N50	2E20	75	PARIS 11E
S	2914	F	9	8	1794	22	50	40	0	48N50	2E20	75	PARIS
