PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
PT	1640	I	23	5	1876	3	10	4	-1	45N30	9E15	MI	CERNUSCO SUL NA
PT	1641	I	19	3	1866	20	8	0	-1	45N30	9E15	MI	CASSANO D ADDA
PT	1642	I	15	2	1870	18	10	4	-1	45N30	9E15	MI	MILANO
PT	1643	I	29	3	1883	7	10	4	-1	41N18	15E 0	BN	BENEVENTO
PT	1644	I	12	1	1898	12	0	0	-1	40N30	15E45	PZ	VIGGIANELLO
PT	1645	I	15	9	1885	20	25	4	-1	42N18	14E15	CH	ATESSA
PT	1646	I	3	4	1881	4	10	4	-1	46N 0	12E 0	TN	PIEVE TESINO
PT	1647	I	19	11	1916	1	15	0	-1	45N30	9E15	MI	MILANO
PT	1648	I	16	7	1900	8	2	0	-1	41N36	15E30	FG	LUCERA
PT	1649	I	13	12	1912	3	0	0	-1	41N36	15E30	FG	SAN SEVERO
PT	1650	I	12	8	1873	1	40	4	-1	43N42	10E30	PI	VOLTERRA
PT	1651	I	13	4	1891	14	10	4	-1	41N54	12E30	RM	ROMA
PT	1652	I	31	5	1907	20	0	0	-1	40N54	14E 0	NA	NAPOLI
PT	1653	I	5	1	1903	1	0	0	-1	40N54	14E 0	NA	NAPOLI
PT	1654	I	24	2	1889	7	10	4	-1	45N 0	9E 0	AL	VALENZA
PT	1655	I	9	11	1877	18	10	4	-1	40N54	14E 0	NA	NAPOLI
PT	1656	I	19	5	1892	6	10	4	-1	41N12	17E 0	BA	BARI
PT	1657	I	7	11	1875	15	10	4	-1	37N 0	15E30	SR	SIRACUSA
PT	1658	I	4	6	1883	18	40	4	-1	40N30	15E45	PZ	MELFI
PT	1659	I	11	8	1892	10	10	4	-1	41N36	15E30	FG	CERIGNOLA
PT	1660	I	25	7	1903	5	0	0	-1	41N54	12E30	RM	ROMA
PT	1661	I	10	2	1901	6	0	0	-1	41N54	12E30	RM	ROMA
PT	1662	I	24	3	1874	13	10	4	-1	44N24	7E15	CN	CARRU
PT	1663	I	14	10	1859	21	26	0	-1	44N54	8E30	AT	MONTIGLIO
PT	1664	I	17	10	1899	20	0	0	-1	40N18	10E 0	NU	MEANA SARDO
PT	1665	I	20	7	1900	10	50	0	-1	41N54	12E30	RM	ROMA
PT	1666	I	10	1	1882	6	10	4	-1	44N12	12E30	FO	FORLI
PT	1667	I	13	1	1889	9	0	4	-1	41N36	14E45	CB	CAMPOBASSO
PT	1668	I	6	2	1908	0	30	0	-1	43N30	12E 0	AR	PIEVE S STEFANO
PT	1669	I	19	9	1899	21	0	0	-1	42N24	13E30	AQ	L AQUILA
PT	1670	I	27	9	1878	12	40	4	-1	44N30	11E 0	BO	BOLOGNA
PT	1671	I	13	2	1916	6	20	0	-1	40N48	8E30	SS	LA MADDALENA
PT	1672	I	5	11	1887	20	10	4	-1	44N48	10E45	PR	LANGHIRANO
PT	1673	I	2	5	1895	23	30	0	-1	43N42	10E30	PI	PONTERA
PT	1674	I	26	6	1878	9	10	4	-1	38N 0	13E30	PA	PALERMO
PT	1675	I	4	11	1898	6	0	0	-1	37N12	13E30	AG	PALMA MONTECHIA
PT	1676	I	3	8	1872	7	10	4	-1	41N36	15E30	FG	SAN NICANDRO GA
PT	1677	I	17	6	1897	2	0	0	-1	41N54	12E30	RM	ROMA
PT	1678	I	14	4	1893	10	10	4	-1	38N 6	15E30	RC	PALMI
