PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
M	943	F	30	8	1917	22	50	0	0	48N50	2E 8	78	ST-GERMAIN-EN-LA
M	944	F	6	4	1856	8	50	36	0	43N12	2E21	11	CARCASSONNE
M	945	F	16	1	1828	16	43	40	0	48N18	4E 5	10	TROYES
M	946	F	15	12	1878	15	59	20	0	45N39	0E10	16	GOURVILLE
M	947	F	15	3	1896	9	40	40	0	48N50	2E11	92	NEUILLY-S/SEINE
M	948	F	28	5	1859	22	5	12	0	48N42	6E12	54	NANCY
M	949	F	6	3	1844	2	35	16	0	49N 7	6E11	57	SARREGUEMINES
M	950	F	31	1	1839	11	51	40	0	49N26	2E 5	60	VERBERIE
M	951	F	16	2	1826	10	1	48	0	46N19	0W27	79	NIORT
M	952	F	31	5	1857	5	34	8	0	43N32	6E28	83	TOULON
M	953	F	20	5	1815	4	51	28	0	43N55	2E 8	81	ALBI
M	954	F	12	5	1868	16	11	4	0	49N46	4E44	08	RETHEL
M	955	F	16	8	1870	13	39	52	0	47N19	5E 2	21	LABERGEMENT-LES
M	956	F	6	9	1830	3	53	40	0	42N58	1E35	09	ROQUEFIXADE
M	957	F	21	5	1868	16	54	40	0	47N35	1E20	41	BLOIS
M	958	F	26	11	1917	3	0	0	0	47N54	1E54	45	GIEN
M	959	F	29	3	1842	5	12	36	0	43N51	4E21	30	NIMES
M	960	F	17	5	1852	0	40	40	0	46N18	4E50	71	SAINT-GERMAIN-D
M	961	F	7	7	1876	10	55	16	0	49N 1	1E11	27	PONT-DE-L'ARCHE
M	962	F	12	3	1834	16	57	12	0	47N24	0E42	37	ST-JEAN-ST-GERM
M	963	F	19	6	1846	3	49	44	0	44N21	2E34	12	BALAGUIER
M	964	F	9	2	1869	14	34	8	0	48N10	6E28	88	CHARMES
M	965	F	2	8	1865	1	42	28	0	45N26	4E23	42	SAINT-CHAMOND
M	966	F	1	10	1834	5	37	8	0	45N11	5E43	38	MONESTIER-DE-CL
M	967	F	22	5	1857	10	29	0	0	48N35	7E45	67	STRASBOURG
M	968	F	13	8	1860	18	39	8	0	46N12	5E13	01	CESSEINS
M	969	F	28	4	1839	12	50	40	0	48N50	2E20	75	PARIS
M	970	F	28	12	1851	22	29	0	0	48N35	7E45	67	STRASBOURG
M	971	F	18	10	1916	16	0	0	0	49N26	1E 5	76	LE TREPORT
M	972	F	19	4	1833	18	51	28	0	48N50	2E 8	78	ST-CYR-L'ECOLE
M	973	F	30	8	1869	9	59	20	0	45N39	0E10	16	BARBEZIEUX
M	974	F	10	6	1860	3	47	24	0	46N59	3E 9	58	DONZY
M	975	F	9	4	1840	22	39	20	0	48N46	5E10	55	MONTMEDY
M	976	F	19	11	1862	19	39	20	0	45N39	0E10	16	ANGOULEME
M	977	F	19	7	1820	16	55	0	0	45N50	1E15	87	LAURIERE
M	978	F	5	2	1851	2	35	16	0	49N 7	6E11	57	CONDE NORTHEU
M	979	F	1	5	1875	1	57	4	0	45N11	0E44	24	DOMME
M	980	F	16	9	1864	10	55	40	0	49N26	1E 5	76	LE HAVRE
M	981	F	31	5	1863	18	49	20	0	48N33	2E40	77	ST-FARGEAU
M	982	F	1	5	1916	8	0	0	0	43N37	3E53	34	MONTPELLIER
M	983	F	14	6	1844	13	51	28	0	48N50	2E 8	78	VERSAILLES
M	984	F	21	7	1810	11	51	28	0	48N50	2E 8	78	VERSAILLES
M	985	F	12	1	1862	15	48	0	0	36N47	3E 0	ALG	ALGER
M	986	F	26	2	1855	10	45	40	0	47N48	3E35	89	ST-FARGEAU
M	987	F	29	11	1890	0	57	36	0	44N50	0W34	33	MERIGNAC
M	988	F	12	3	1815	4	10	56	0	47N40	2W44	56	LE PALAIS
M	989	F	30	9	1861	8	42	36	0	43N51	4E21	30	NIMES
M	990	F	24	1	1843	10	40	40	0	43N57	4E50	84	VALREAS
M	991	F	17	10	1834	21	35	52	0	47N15	6E 2	25	MOUTHIERS-HTE-P
M	992	F	8	3	1915	1	0	0	0	47N40	2W44	56	CALLAC-EN-MONTE
M	993	F	27	4	1831	7	48	56	0	50N18	2E46	62	ISBERGUES
M	994	F	15	2	1802	5	35	16	0	49N 7	6E11	57	PHALSBOURG
M	995	F	15	11	1858	7	20	16	0	49N 7	6E11	57	SARREGUEMINES
M	996	F	16	3	1834	1	39	52	0	47N19	5E 2	21	AUBIGNY-LES-SOM
M	997	F	20	9	1852	15	40	40	0	43N57	4E50	84	CARPENTRAS
M	998	F	31	1	1863	10	44	28	0	43N37	3E53	34	ST-CHINIAN
M	999	F	15	5	1899	0	50	40	0	45N26	4E23	42	RIVE-DE-GIERS
M	1000	F	15	9	1888	14	1	48	0	46N19	0W27	79	LA GUILLOTIERE
M	1001	F	8	4	1872	12	51	28	0	48N50	2E 8	78	VERSAILLES
M	1002	F	12	6	1842	17	12	36	0	43N51	4E21	30	ST-AMBROIX
M	1003	F	6	9	1870	10	44	28	0	43N37	3E53	34	LUNEL
M	1004	F	29	12	1881	9	50	0	0	48N55	2E30	93	ST-DENIS
M	1005	F	20	11	1875	16	59	40	0	43N14	0E 5	65	LOURES
M	1006	F	17	9	1877	4	44	28	0	43N37	3E53	34	MONTPELLIER
M	1007	F	22	7	1826	9	43	40	0	48N18	4E 5	10	BAR-LE-DUC
M	1008	F	16	4	1865	6	36	20	0	45N34	5E55	73	AIX-LES-BAINS
M	1009	F	6	2	1855	3	54	16	0	43N37	1E26	31	TOULOUSE
M	1010	F	20	10	1918	18	0	0	0	35N40	0W30	ALG	ORAN
M	1011	F	24	7	1834	7	51	28	0	43N55	2E 8	81	CASTRES
M	1012	F	17	8	1847	13	54	16	0	43N37	1E26	31	BRIQUEMONT
M	1013	F	17	2	1854	19	54	16	0	44N27	1E26	46	ST-LAURENT
M	1014	F	1	11	1833	0	37	8	0	45N11	5E43	38	MONESTIER-DE-CL
M	1015	F	8	10	1833	13	37	8	0	45N11	5E43	38	BREZINS
M	1016	F	12	5	1866	9	35	16	0	49N 7	6E11	57	METZ
M	1017	F	4	10	1870	15	30	36	0	48N 5	7E21	68	LYON
M	1018	F	10	9	1800	5	37	8	0	45N11	5E43	38	ST-ETIENNE-DE-S
M	1019	F	1	5	1869	21	5	52	0	47N15	6E 2	25	BESANCON
M	1020	F	4	8	1872	14	10	40	0	46N18	4E50	71	CLUNY
M	1021	F	6	8	1877	20	11	28	0	43N18	0W22	64	PAU
M	1022	F	7	9	1828	1	29	0	0	48N35	7E45	67	BOUXWILLER
M	1023	F	2	3	1877	0	35	12	0	48N42	6E12	54	NANCY
M	1024	F	5	8	1838	14	40	24	0	44N56	4E54	26	DIEULEFIT
M	1025	F	14	3	1883	20	57	36	0	44N50	0W34	33	BORDEAUX
M	1026	F	13	2	1864	20	48	0	0	36N47	3E 0	ALG	ALGER
M	1027	F	26	8	1916	4	0	0	0	36N35	2E45	ALG	BLIDA
M	1028	F	17	3	1838	3	30	36	0	48N 5	7E21	68	LEPUIX DE GIROM
M	1029	F	13	9	1811	21	45	32	0	49N34	3E37	02	LAON
M	1030	F	31	5	1861	8	42	32	0	48N57	4E22	51	REIMS
M	1031	F	10	10	1917	8	15	0	0	48N50	2E11	92	NEUILLY-S/SEINE
M	1032	F	12	2	1872	1	13	40	0	48N18	4E 5	10	CHAOURCE
M	1033	F	18	3	1896	14	50	40	0	47N15	6E 2	25	BESANCON
M	1034	F	29	10	1868	11	30	36	0	48N 5	7E21	68	OBERBRUCK
M	1035	F	3	11	1837	17	30	36	0	48N 5	7E21	68	COLMAR
M	1036	I	16	7	1836	5	28	0	-1	43N42	8E 0	IM	L AQUILA
M	1037	I	14	7	1888	5	40	4	-1	43N24	13E15	MC	MACERATA
M	1038	I	4	3	1890	3	20	4	-1	42N24	14E30	PE	LORETO APRUTINO
M	1039	I	12	9	1867	1	10	4	-1	40N54	14E 0	NA	CASTELLAMARE DI
M	1040	I	25	3	1825	7	4	0	-1	40N54	14E 0	NA	CASTELLAMARE DU
M	1041	I	21	9	1820	8	17	0	-1	44N48	10E45	PR	PARMA
M	1042	I	20	11	1872	4	10	4	-1	37N12	13E30	AG	AGRIGENTO
M	1043	I	12	2	1870	1	10	4	-1	45N30	9E15	MI	MILANO
M	1044	I	23	7	1878	16	30	4	-1	39N18	16E30	CS	NORMANNO
M	1045	I	15	1	1892	8	10	4	-1	45N30	9E15	MI	MILANO
M	1046	I	23	2	1866	2	1	0	-1	41N36	14E45	CB	CAMPOBASSO
M	1047	I	24	5	1890	8	10	4	-1	41N54	12E30	RM	ROMA
M	1048	I	3	7	1863	17	23	0	-1	43N 0	13E 0	PG	PERUGIA
M	1049	I	31	8	1839	10	21	0	-1	45N 0	9E45	PC	PIACENZA
M	1050	I	3	5	1855	8	17	0	-1	44N48	10E45	PR	PARMA
M	1051	I	15	10	1890	11	55	4	-1	43N 0	13E45	AP	MONTALTO DELLE
M	1052	I	2	12	1869	23	10	4	-1	39N18	16E30	CS	ROSSANO
M	1053	I	12	5	1847	11	24	0	-1	45N30	9E 0	NO	DOMODOSSOLA
M	1054	I	28	7	1879	9	10	4	-1	45N 0	8E 0	TO	TORINO
M	1055	I	5	3	1893	16	10	4	-1	37N 0	15E30	SR	SIRACUSA
M	1056	I	24	5	1887	6	40	4	-1	44N18	8E45	SV	SAVONA
M	1057	I	19	3	1874	3	10	4	-1	43N42	8E 0	IM	VALLECROSIA POR
M	1058	I	14	6	1852	20	24	0	-1	45N 0	9E 0	AL	OVADA
M	1059	I	27	10	1875	16	10	4	-1	45N30	9E15	MI	SAN FIORANO
M	1060	I	23	8	1867	2	10	4	-1	45N 0	12E15	RO	DONADA
M	1061	I	14	3	1888	14	10	4	-1	43N24	13E15	MC	TREIA
M	1062	I	14	3	1858	17	54	0	-1	39N18	16E30	CS	COLOSIMI
